request_id,k6_endpoint,k6_status,k6_duration_ms,k6_waiting_ms,k6_receiving_ms,nginx_status,nginx_total_ms,nginx_upstream_ms,nginx_connect_ms,nginx_header_ms,gateway_status,gateway_total_ms,gateway_auth_ms,gateway_upstream_ms,gateway_other_ms,k6_minus_nginx_ms,nginx_minus_gateway_ms,k6_minus_gateway_ms
9cc987d9-d095-4efa-aa34-643512f2613b,,,,,,200,70.0,72.0,0.0,72.0,,,,,,,,
2c0bc2b7-6013-4764-91e5-c0e22fba117f,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
f88c9080-fefe-485d-8feb-5138f396468b,,,,,,200,98.0,100.0,4.0,100.0,,,,,,,,
d70da53e-7b77-4704-964e-b6c6e0a67700,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
c6cf6c79-cfff-4271-a690-9207e1007520,,,,,,200,70.0,72.0,0.0,72.0,,,,,,,,
76badcda-70d4-4b36-89cf-c6d75e7b5b7c,,,,,,200,83.0,84.0,0.0,84.0,,,,,,,,
6aff7b0b-c3ee-493f-a63e-761d01f02709,,,,,,200,85.0,84.0,0.0,84.0,,,,,,,,
6bdca67c-f303-400b-831a-f1896b834283,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
cdbee60b-929d-44e6-8028-31213e8d03c0,,,,,,200,135.0,132.0,0.0,132.0,,,,,,,,
0833cacb-f58a-4ee5-a85d-6f8d702aa9d9,,,,,,200,128.0,132.0,4.0,132.0,,,,,,,,
d4246776-98cf-4b98-8287-382876baac24,,,,,,200,104.0,100.0,0.0,100.0,,,,,,,,
91819d15-212b-4e1b-88ae-a1db785ff6f3,,,,,,200,98.0,96.0,0.0,96.0,,,,,,,,
439768f6-b5be-4e48-b312-810ad1ade100,,,,,,200,72.0,68.0,0.0,68.0,,,,,,,,
b8449eed-704c-41eb-9fb3-20b5bb5d9ac9,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
97f0681e-8af0-471a-9bdc-14a19b158564,,,,,,200,87.0,84.0,0.0,84.0,,,,,,,,
eba9a903-5fb1-4d5b-a920-a6f915e7776c,,,,,,200,74.0,76.0,4.0,76.0,,,,,,,,
36c6bfc7-39cc-4a90-aabb-342b68f46ae9,,,,,,200,68.0,68.0,0.0,68.0,,,,,,,,
f62eec68-dc7c-416d-8933-9fd82eb2f95e,,,,,,200,75.0,76.0,0.0,76.0,,,,,,,,
841f95a8-21ac-460c-8d34-ba827d4bbdd8,,,,,,200,102.0,100.0,0.0,100.0,,,,,,,,
0ce59a18-95c1-48fa-b727-6a175628ea65,,,,,,200,94.0,92.0,0.0,92.0,,,,,,,,
ba020542-3e4a-4ec1-b084-579cebd3606d,,,,,,200,100.0,100.0,8.0,100.0,,,,,,,,
6874b71c-b4f8-4cdf-bf51-3ce457685e01,,,,,,200,105.0,104.0,8.0,104.0,,,,,,,,
f96e8c33-c786-4741-ad43-1cde57dbde90,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
4cc89d3c-901d-4557-ab2b-8ad8e896edf4,,,,,,200,135.0,132.0,0.0,132.0,,,,,,,,
7a02fb01-b198-4e28-baf7-2466f556b629,,,,,,200,75.0,72.0,0.0,72.0,,,,,,,,
f0d0098c-5ef0-46dc-b441-6b69c8d36900,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
3e7dfe82-eae4-4824-bc68-5aa22f0c9369,,,,,,200,84.0,76.0,0.0,76.0,,,,,,,,
aede78fe-6113-46bf-b4ff-5c92aa8aeaea,,,,,,200,87.0,88.0,4.0,88.0,,,,,,,,
ddffa609-e7a1-4f17-9a64-fe0870579daa,,,,,,200,90.0,92.0,0.0,92.0,,,,,,,,
b3689650-6073-42fe-a514-e57581157631,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
2289126f-ffa7-4933-833c-2f59334b1399,,,,,,200,90.0,88.0,0.0,88.0,,,,,,,,
e413c619-cfb5-4426-a17d-130f53bb10de,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
3a8740fb-1a9d-4bf6-b66d-dabc0952bdda,,,,,,200,78.0,76.0,0.0,76.0,,,,,,,,
20375c4c-70e3-462f-a185-a9b6916788c0,,,,,,200,79.0,80.0,0.0,80.0,,,,,,,,
ede772e6-5487-4f7d-a042-f32a65cbfa4d,,,,,,200,73.0,76.0,0.0,76.0,,,,,,,,
b6a85192-d81e-43d1-b9d6-8b6f403dc6af,,,,,,200,74.0,72.0,0.0,72.0,,,,,,,,
1667141e-bdbc-48c1-9afc-52f79cae2215,,,,,,200,131.0,132.0,0.0,132.0,,,,,,,,
54006703-93de-4ac6-9542-437abca51302,,,,,,200,71.0,68.0,0.0,68.0,,,,,,,,
692bfd4e-13ff-427f-a46c-f94f9cf46c3b,,,,,,200,89.0,88.0,0.0,88.0,,,,,,,,
60f9554b-b489-43f4-9282-e88d416e2e1b,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
7ce8714c-3452-42c9-a008-cbf1503c34d0,,,,,,200,88.0,88.0,4.0,88.0,,,,,,,,
79d85eb8-7e56-4b05-a086-7cf6f795735f,,,,,,200,97.0,96.0,0.0,96.0,,,,,,,,
242f187a-f779-4035-acb4-48c7f847e495,,,,,,200,73.0,76.0,4.0,76.0,,,,,,,,
e2f94ca8-30b3-413a-a8bc-7fb36cb720fa,,,,,,200,107.0,108.0,0.0,108.0,,,,,,,,
fbd0be1c-77bd-481b-acdd-eb7f797cf606,,,,,,200,138.0,140.0,0.0,140.0,,,,,,,,
545f00b0-c17c-40f5-a7d6-36e5f22ffcc2,,,,,,200,152.0,152.0,0.0,152.0,,,,,,,,
070039bd-47c6-477b-a646-cb633fc4bf23,,,,,,200,103.0,104.0,0.0,104.0,,,,,,,,
d8bb0f0b-97b3-4a96-a919-bf40935055c4,,,,,,200,98.0,96.0,0.0,96.0,,,,,,,,
79a77219-dc88-4a8c-9417-d7bb1e212fe0,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
d50dc671-9868-4074-b275-54e75dd361f1,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
ee182a28-e3fe-4ea8-a964-2d333299bd74,,,,,,200,90.0,92.0,0.0,92.0,,,,,,,,
5bb2c886-5c73-475c-a378-dcf7b2c40990,,,,,,200,112.0,112.0,0.0,112.0,,,,,,,,
8e5e43cc-cf19-467f-a689-480daf68a260,,,,,,200,132.0,132.0,0.0,132.0,,,,,,,,
2fac46cf-955c-4950-b721-f4b28ca98eeb,,,,,,200,128.0,128.0,4.0,128.0,,,,,,,,
08b34caf-8aee-44e5-a3aa-4f4c70288468,,,,,,200,84.0,84.0,4.0,84.0,,,,,,,,
4861ac43-92d6-4d0b-b141-38a220b263ab,,,,,,200,83.0,80.0,0.0,80.0,,,,,,,,
cc45ebb4-140e-42d8-bfbb-0c7a35007603,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
3c2e3314-2fef-490d-9cd3-6d4ac3838a5b,,,,,,200,100.0,100.0,0.0,100.0,,,,,,,,
f3098e5a-e1f2-46cf-b89b-8693aa1ddd67,,,,,,200,77.0,80.0,4.0,80.0,,,,,,,,
d7b57ca7-aa6d-4af6-95f1-2e899f40c251,,,,,,200,79.0,80.0,0.0,80.0,,,,,,,,
123e55be-c9e7-4868-8ae3-5414b05a2761,,,,,,200,85.0,80.0,0.0,80.0,,,,,,,,
9a878d19-426a-4ba2-95fa-5e1f75b1621b,,,,,,200,85.0,84.0,0.0,84.0,,,,,,,,
57f6f289-6e10-4528-93c0-1006d6be2b72,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
7fc3f064-ff37-4bf4-9a65-84c73eb71ce0,,,,,,200,85.0,88.0,4.0,88.0,,,,,,,,
49655186-1c59-4ff7-918e-91e90fd64308,,,,,,200,93.0,92.0,0.0,92.0,,,,,,,,
f6217f9f-c1ba-46ad-9df8-916ad3e71c6d,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
6e3f9078-4825-44fc-9ed6-eb749721d7ba,,,,,,200,83.0,84.0,0.0,84.0,,,,,,,,
4f81add0-6b4e-4431-872d-2dfca4603b20,,,,,,200,297.0,296.0,0.0,296.0,,,,,,,,
2ee8103d-323d-4534-9230-e34f285f1cbb,,,,,,200,169.0,168.0,0.0,168.0,,,,,,,,
e3092b5b-302a-4726-b12f-e6943228038e,,,,,,200,160.0,160.0,4.0,160.0,,,,,,,,
e0580b40-86cb-411a-a668-bbaefaa46414,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
5c024a6d-f782-40f4-8105-0751cd393719,,,,,,200,72.0,72.0,0.0,72.0,,,,,,,,
de03722b-275c-4769-887a-d68f52cb757a,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
